项目名称,星标数量,链接
profiling,2973,https://github.com/what-studio/profiling
neural-storyteller,2966,https://github.com/ryankiros/neural-storyteller
PerceptualSimilarity,2888,https://github.com/richzhang/PerceptualSimilarity
django-reversion,2886,https://github.com/etianen/django-reversion
Segment-Everything-Everywhere-All-At-Once,2886,https://github.com/UX-Decoder/Segment-Everything-Everywhere-All-At-Once
docker-registry,2880,https://github.com/docker-archive/docker-registry
book,2841,https://github.com/crypto101/book
rocketry,2840,https://github.com/Miksus/rocketry
bot-on-anything,2826,https://github.com/zhayujie/bot-on-anything
vidgear,2813,https://github.com/abhiTronix/vidgear
human-pose-estimation.pytorch,2813,https://github.com/microsoft/human-pose-estimation.pytorch
streamalert,2793,https://github.com/airbnb/streamalert
dalle-flow,2792,https://github.com/jina-ai/dalle-flow
GAT,2774,https://github.com/PetarV-/GAT
django-environ,2764,https://github.com/joke2k/django-environ
GPT2-chitchat,2763,https://github.com/yangjianxin1/GPT2-chitchat
pcc,2753,https://github.com/ehmatthes/pcc
geemap,2742,https://github.com/gee-community/geemap
instagram_private_api,2727,https://github.com/ping/instagram_private_api
thinc,2727,https://github.com/explosion/thinc
stellargraph,2720,https://github.com/stellargraph/stellargraph
fluxgui,2698,https://github.com/xflux-gui/fluxgui
django-import-export,2688,https://github.com/django-import-export/django-import-export
Complete-Placement-Preparation,2681,https://github.com/anushka23g/Complete-Placement-Preparation
CRAFT-pytorch,2679,https://github.com/clovaai/CRAFT-pytorch
easyquant,2678,https://github.com/shidenggui/easyquant
scrapyd,2666,https://github.com/scrapy/scrapyd
mljar-supervised,2643,https://github.com/mljar/mljar-supervised
django-social-auth,2635,https://github.com/omab/django-social-auth
ENAS-pytorch,2627,https://github.com/carpedm20/ENAS-pytorch
freqtrade-strategies,2620,https://github.com/freqtrade/freqtrade-strategies
waybackpack,2614,https://github.com/jsvine/waybackpack
MUNIT,2565,https://github.com/NVlabs/MUNIT
schematics,2558,https://github.com/schematics/schematics
100-Days-of-ML-Code-Chinese-Version,3263,https://github.com/Avik-Jain/100-Days-of-ML-Code-Chinese-Version
SwinIR,3254,https://github.com/JingyunLiang/SwinIR
code2flow,3245,https://github.com/scottrogowski/code2flow
lamda,3232,https://github.com/rev1si0n/lamda
kubernetes-workshop,3213,https://github.com/eon01/kubernetes-workshop
MODNet,3197,https://github.com/ZHKKKe/MODNet
pipfile,3195,https://github.com/pypa/pipfile
PyTorch-StudioGAN,3190,https://github.com/POSTECH-CVLab/PyTorch-StudioGAN
python-uncompyle6,3185,https://github.com/rocky/python-uncompyle6
sumy,3181,https://github.com/miso-belica/sumy
subDomainsBrute,3161,https://github.com/lijiejie/subDomainsBrute
researchgpt,3152,https://github.com/mukulpatnaik/researchgpt
colorization,3148,https://github.com/richzhang/colorization
adminset,3136,https://github.com/guohongze/adminset
OpsManage,3132,https://github.com/welliamcao/OpsManage
textdistance,3127,https://github.com/life4/textdistance
noto-emoji,3127,https://github.com/googlefonts/noto-emoji
Real_Time_Image_Animation,3120,https://github.com/anandpawara/Real_Time_Image_Animation
pomegranate,3117,https://github.com/jmschrei/pomegranate
Legofy,3110,https://github.com/JuanPotato/Legofy
drf-yasg,3110,https://github.com/axnsan12/drf-yasg
v2ex-gae,3105,https://github.com/livid/v2ex-gae
ansible-lint,3100,https://github.com/ansible/ansible-lint
MarkdownEditing,3098,https://github.com/SublimeText-Markdown/MarkdownEditing
lda2vec,3091,https://github.com/cemoody/lda2vec
FastMaskRCNN,3091,https://github.com/CharlesShang/FastMaskRCNN
marqo,3075,https://github.com/marqo-ai/marqo
more-itertools,3074,https://github.com/more-itertools/more-itertools
vispy,3071,https://github.com/vispy/vispy
yolov7_d2,3068,https://github.com/lucasjinreal/yolov7_d2
simpledet,3058,https://github.com/tusen-ai/simpledet
WeiboSpider,3052,https://github.com/nghuyong/WeiboSpider
x-transformers,3049,https://github.com/lucidrains/x-transformers
nyaa,3049,https://github.com/nyaadevs/nyaa
gpt-code-clippy,3046,https://github.com/CodedotAl/gpt-code-clippy
django-taggit,3043,https://github.com/jazzband/django-taggit
PyTricks,3038,https://github.com/brennerm/PyTricks
awesome-open-gpt,3028,https://github.com/EwingYangs/awesome-open-gpt
generative_inpainting,3022,https://github.com/JiahuiYu/generative_inpainting
plasma,3014,https://github.com/plasma-disassembler/plasma
git-remote-dropbox,3000,https://github.com/anishathalye/git-remote-dropbox
pyppeteer,2997,https://github.com/pyppeteer/pyppeteer
Merlion,2994,https://github.com/salesforce/Merlion
Gerapy,2994,https://github.com/Gerapy/Gerapy
FedML,2992,https://github.com/FedML-AI/FedML
twitter,2991,https://github.com/python-twitter-tools/twitter
zhenxun_bot,2989,https://github.com/HibiKier/zhenxun_bot
cerberus,2988,https://github.com/pyeve/cerberus
curator,2986,https://github.com/elastic/curator
tree-of-thoughts,2986,https://github.com/kyegomez/tree-of-thoughts
consoleme,2980,https://github.com/Netflix/consoleme
kb,2979,https://github.com/gnebbia/kb
Jiagu,2976,https://github.com/ownthink/Jiagu
CogVideo,2975,https://github.com/THUDM/CogVideo
neural-storyteller,2966,https://github.com/ryankiros/neural-storyteller
python-dependency-injector,2963,https://github.com/ets-labs/python-dependency-injector
iOS-Universal-Framework,2960,https://github.com/kstenerud/iOS-Universal-Framework
sslyze,2959,https://github.com/nabla-c0d3/sslyze
trash-cli,2959,https://github.com/andreafrancia/trash-cli
scipy-lecture-notes,2950,https://github.com/scipy-lectures/scipy-lecture-notes
Algorithms,2933,https://github.com/prakhar1989/Algorithms
clay,2927,https://github.com/golemfactory/clay
django-sspanel,2924,https://github.com/Ehco1996/django-sspanel
nlp-architect,2904,https://github.com/IntelLabs/nlp-architect
rumps,2902,https://github.com/jaredks/rumps
flamescope,2889,https://github.com/Netflix/flamescope
django-reversion,2886,https://github.com/etianen/django-reversion
docker-registry,2880,https://github.com/docker-archive/docker-registry
exodus,2880,https://github.com/intoli/exodus
matplotlib-cheatsheet,2866,https://github.com/rougier/matplotlib-cheatsheet
image-match,2861,https://github.com/rhsimplex/image-match
uwsgi-nginx-flask-docker,2849,https://github.com/tiangolo/uwsgi-nginx-flask-docker
pentest-tools,2848,https://github.com/gwen001/pentest-tools
NeteaseCloudMusicFlac,2833,https://github.com/atlas-comstock/NeteaseCloudMusicFlac
bigdata_analyse,2826,https://github.com/TurboWay/bigdata_analyse
m1n1,2825,https://github.com/AsahiLinux/m1n1
Fengshenbang-LM,2814,https://github.com/IDEA-CCNL/Fengshenbang-LM
FreeWifi,2811,https://github.com/kylemcdonald/FreeWifi
IntelOwl,2802,https://github.com/intelowlproject/IntelOwl
streamalert,2793,https://github.com/airbnb/streamalert
mmselfsup,2773,https://github.com/open-mmlab/mmselfsup
eg3d,2769,https://github.com/NVlabs/eg3d
django-environ,2764,https://github.com/joke2k/django-environ
GPT2-chitchat,2763,https://github.com/yangjianxin1/GPT2-chitchat
autokey,2762,https://github.com/autokey/autokey
PocketFlow,2755,https://github.com/Tencent/PocketFlow
pcc,2753,https://github.com/ehmatthes/pcc
migra,2751,https://github.com/djrobstep/migra
texthero,2744,https://github.com/jbesomi/texthero
multidiffusion-upscaler-for-automatic1111,2741,https://github.com/pkuliyi2015/multidiffusion-upscaler-for-automatic1111
robyn,2739,https://github.com/sansyrox/robyn
scrapydweb,2736,https://github.com/my8100/scrapydweb
vigil,2726,https://github.com/munificent/vigil
stellargraph,2720,https://github.com/stellargraph/stellargraph
AI-Optimizer,2713,https://github.com/TJU-DRL-LAB/AI-Optimizer
octodns,2700,https://github.com/octodns/octodns
fluxgui,2698,https://github.com/xflux-gui/fluxgui
itsdangerous,2682,https://github.com/pallets/itsdangerous
Complete-Placement-Preparation,2681,https://github.com/anushka23g/Complete-Placement-Preparation
SNIPER,2674,https://github.com/mahyarnajibi/SNIPER
pytorch-deeplab-xception,2750,https://github.com/jfzhang95/pytorch-deeplab-xception
halo,2747,https://github.com/manrajgrover/halo
deepchecks,2740,https://github.com/deepchecks/deepchecks
matplotlib-tutorial,2730,https://github.com/rougier/matplotlib-tutorial
awesome-hand-pose-estimation,2729,https://github.com/xinghaochen/awesome-hand-pose-estimation
chat-langchain,2723,https://github.com/hwchase17/chat-langchain
stellargraph,2720,https://github.com/stellargraph/stellargraph
IMSI-catcher,2719,https://github.com/Oros42/IMSI-catcher
dirmap,2718,https://github.com/H4ckForJob/dirmap
Transcrypt,2713,https://github.com/TranscryptOrg/Transcrypt
rich-cli,2706,https://github.com/Textualize/rich-cli
recon-ng,2701,https://github.com/lanmaster53/recon-ng
fluxgui,2698,https://github.com/xflux-gui/fluxgui
Complete-Placement-Preparation,2681,https://github.com/anushka23g/Complete-Placement-Preparation
pyupgrade,2678,https://github.com/asottile/pyupgrade
char-rnn-tensorflow,2651,https://github.com/sherjilozair/char-rnn-tensorflow
SpiderKeeper,2646,https://github.com/DormyMo/SpiderKeeper
django-social-auth,2635,https://github.com/omab/django-social-auth
Wikipedia,2632,https://github.com/goldsmith/Wikipedia
waybackpack,2614,https://github.com/jsvine/waybackpack
knockknock,2611,https://github.com/huggingface/knockknock
python-miio,2607,https://github.com/rytilahti/python-miio
git-imerge,2585,https://github.com/mhagger/git-imerge
schematics,2558,https://github.com/schematics/schematics
pygal,2548,https://github.com/Kozea/pygal
oil,2535,https://github.com/oilshell/oil
musiclm-pytorch,2527,https://github.com/lucidrains/musiclm-pytorch
gmusicapi,2506,https://github.com/simon-weber/gmusicapi
Ultroid,2505,https://github.com/TeamUltroid/Ultroid
WizardLM,2504,https://github.com/nlpxucan/WizardLM
gluon-nlp,2501,https://github.com/dmlc/gluon-nlp
cnn-benchmarks,2499,https://github.com/jcjohnson/cnn-benchmarks
awesome-mlops,2495,https://github.com/kelvins/awesome-mlops
VisualGLM-6B,2491,https://github.com/THUDM/VisualGLM-6B
pyvim,2485,https://github.com/prompt-toolkit/pyvim
Semantic-Segmentation-Suite,2481,https://github.com/GeorgeSeif/Semantic-Segmentation-Suite
pycord,2477,https://github.com/Pycord-Development/pycord
furl,2474,https://github.com/gruns/furl
thonny,2471,https://github.com/thonny/thonny
tinypilot,2451,https://github.com/tiny-pilot/tinypilot
git-sweep,2434,https://github.com/arc90/git-sweep
Nominatim,2430,https://github.com/osm-search/Nominatim
noto-fonts,2419,https://github.com/notofonts/noto-fonts
pycrypto,2419,https://github.com/pycrypto/pycrypto
owllook,2404,https://github.com/howie6879/owllook
flaskbb,2389,https://github.com/flaskbb/flaskbb
Iconic,2381,https://github.com/somerandomdude/Iconic
pandera,2377,https://github.com/unionai-oss/pandera
zmirror,2368,https://github.com/aploium/zmirror
MAE-pytorch,2360,https://github.com/pengzhiliang/MAE-pytorch
fairscale,2360,https://github.com/facebookresearch/fairscale
SSRFmap,2324,https://github.com/swisskyrepo/SSRFmap
curl-impersonate,2320,https://github.com/lwthiker/curl-impersonate
kickthemout,2305,https://github.com/k4m4/kickthemout
django-bootstrap3,2303,https://github.com/zostera/django-bootstrap3
subliminal,2296,https://github.com/Diaoul/subliminal
aiofiles,2296,https://github.com/Tinche/aiofiles
pytorch-kaldi,2286,https://github.com/mravanelli/pytorch-kaldi
improved_wgan_training,2276,https://github.com/igul222/improved_wgan_training
jexboss,2276,https://github.com/joaomatosf/jexboss
pyarmor,2261,https://github.com/dashingsoft/pyarmor
bbot,2257,https://github.com/blacklanternsecurity/bbot
Cozette,2246,https://github.com/slavfox/Cozette
cassowary,2246,https://github.com/casualsnek/cassowary
whitenoise,2245,https://github.com/evansd/whitenoise
scenic,2242,https://github.com/google-research/scenic
open_flamingo,2239,https://github.com/mlfoundations/open_flamingo
category_encoders,2238,https://github.com/scikit-learn-contrib/category_encoders
timesketch,2232,https://github.com/google/timesketch
itermocil,2231,https://github.com/TomAnthony/itermocil
DXY-COVID-19-Data,2231,https://github.com/BlankerL/DXY-COVID-19-Data
rlcard,2216,https://github.com/datamllab/rlcard
BeRoot,2214,https://github.com/AlessandroZ/BeRoot
django-activity-stream,2205,https://github.com/justquick/django-activity-stream
litestar,2201,https://github.com/litestar-org/litestar
EDSR-PyTorch,2199,https://github.com/sanghyun-son/EDSR-PyTorch
GroundingDINO,2199,https://github.com/IDEA-Research/GroundingDINO
argilla,2198,https://github.com/argilla-io/argilla
AI-Writer,2198,https://github.com/BlinkDL/AI-Writer
cloud-init,2198,https://github.com/canonical/cloud-init
shodan-python,2189,https://github.com/achillean/shodan-python
llm-foundry,2179,https://github.com/mosaicml/llm-foundry
autorandr,2179,https://github.com/phillipberndt/autorandr
docker-python,2178,https://github.com/Kaggle/docker-python
malicious-pdf,2177,https://github.com/jonaslejon/malicious-pdf
MozDef,2172,https://github.com/mozilla/MozDef
Source-Code-from-Tutorials,2170,https://github.com/buckyroberts/Source-Code-from-Tutorials
SideBarEnhancements,2163,https://github.com/titoBouzout/SideBarEnhancements
wordvectors,2161,https://github.com/Kyubyong/wordvectors
JioNLP,2159,https://github.com/dongrixinyu/JioNLP
rebiber,2154,https://github.com/yuchenlin/rebiber
